timestamp	phase	worker	class_name	block	seed	task	sub_task	steps	termination_status	source	agent_dir	agent_pos	reward	action_space	observation_space
20200225T175820.465843	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2937317788	85	0	51	DONE	NEXT	0	[4 4]	0.6812499999999999	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175820.600185	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2461024411	87	0	69	DONE	NEXT	0	[4 4]	0.56875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175820.619716	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1128721711	91	0	9	DONE	NEXT	0	[4 4]	0.94375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175820.976746	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	984785225	92	0	89	DONE	NEXT	0	[4 4]	0.44375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175821.017527	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3459911229	95	0	24	DONE	NEXT	1	[4 4]	0.85	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175821.040421	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3809427844	96	0	11	DONE	NEXT	0	[4 4]	0.93125	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175821.059784	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3428093187	97	0	9	DONE	NEXT	1	[4 4]	0.94375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175821.121669	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	541120328	98	0	36	DONE	NEXT	0	[4 4]	0.775	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175821.227818	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1660097231	99	0	60	DONE	NEXT	1	[4 4]	0.625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175821.483888	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1796844370	101	0	25	DONE	NEXT	0	[4 4]	0.84375	Discrete(7)	Dict(image:Box(7, 7, 3))
