timestamp	phase	worker	class_name	block	seed	task	sub_task	steps	termination_status	source	agent_dir	agent_pos	reward	action_space	observation_space
20200225T181623.821773	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	4048741053	3191	0	100	DONE	NEXT	3	[4 6]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181623.861634	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	2545272939	3193	0	5	DONE	NEXT	2	[1 2]	0.955	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181624.517231	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	524885806	3194	0	100	DONE	NEXT	3	[4 4]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181626.125425	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	2477375493	3199	0	100	DONE	NEXT	0	[4 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181626.784912	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	32147603	3201	0	100	DONE	NEXT	1	[7 5]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181628.549302	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	256619379	3203	0	100	DONE	NEXT	0	[4 6]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181629.172169	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	455089299	3206	0	100	DONE	NEXT	0	[2 2]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181629.244760	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	2483456048	3208	0	10	DONE	NEXT	1	[2 7]	0.91	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181629.268115	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	3078773990	3209	0	3	DONE	NEXT	1	[2 2]	0.973	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181629.317449	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	1788518083	3210	0	7	DONE	NEXT	1	[4 2]	0.9369999999999999	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181631.237289	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	2979645405	3211	0	100	DONE	NEXT	1	[1 7]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181632.025114	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	1488346507	3213	0	100	DONE	NEXT	3	[5 3]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181633.809217	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	2375096194	3217	0	100	DONE	NEXT	2	[6 8]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181634.241287	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	2471123410	3219	0	100	DONE	NEXT	3	[5 4]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181635.998633	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	3972723573	3221	0	100	DONE	NEXT	2	[1 9]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181636.524843	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	4249344205	3223	0	100	DONE	NEXT	1	[3 3]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181638.863652	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	1144276070	3225	0	100	DONE	NEXT	0	[3 6]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181639.467714	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	2986875571	3227	0	100	DONE	NEXT	1	[4 2]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181641.236581	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	2831387731	3229	0	100	DONE	NEXT	1	[4 8]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181641.721395	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	3004218091	3233	0	100	DONE	NEXT	0	[2 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181641.763595	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	2260048477	3235	0	7	DONE	NEXT	1	[3 3]	0.9369999999999999	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181642.990744	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	2113876898	3236	0	100	DONE	NEXT	0	[3 7]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181643.475996	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	4253272730	3239	0	100	DONE	NEXT	3	[2 3]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181643.668993	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	692639165	3241	0	41	DONE	NEXT	0	[9 2]	0.631	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181645.428257	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	374540018	3242	0	100	DONE	NEXT	2	[2 5]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181645.946980	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	3170934053	3244	0	100	DONE	NEXT	1	[3 7]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181648.779009	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	1109106386	3246	0	100	DONE	NEXT	1	[7 2]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181648.874566	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	4237391458	3250	0	21	DONE	NEXT	1	[4 8]	0.8109999999999999	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181649.177464	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	3716088193	3251	0	61	DONE	NEXT	0	[16  2]	0.45099999999999996	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181651.026314	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	268629504	3253	0	100	DONE	NEXT	1	[ 5 13]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181651.705194	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	239619443	3255	0	100	DONE	NEXT	1	[8 2]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181651.754308	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	250897462	3257	0	7	DONE	NEXT	1	[2 4]	0.9369999999999999	Discrete(7)	Dict(image:Box(7, 7, 3))
