block_num	regime_num	exp_num	status	timestamp	sub_task	agent_pos	observation_space	steps	reward	seed	agent_dir	worker	source	action_space	task_name
0	0	19	DONE	20200922T230036.054849	0	[3 3]	Dict(image:Box(7, 7, 3))	7	0.9369999999999999	2693343064	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	20	DONE	20200922T230036.322847	0	[3 3]	Dict(image:Box(7, 7, 3))	62	0.44199999999999995	1188278910	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	21	DONE	20200922T230036.415387	0	[3 3]	Dict(image:Box(7, 7, 3))	31	0.721	3398680230	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	22	DONE	20200922T230036.451389	0	[3 3]	Dict(image:Box(7, 7, 3))	5	0.955	3833916304	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	23	DONE	20200922T230036.628389	0	[3 3]	Dict(image:Box(7, 7, 3))	63	0.43299999999999994	17250270	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	24	DONE	20200922T230036.895387	0	[3 3]	Dict(image:Box(7, 7, 3))	78	0.29799999999999993	3057419476	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	25	DONE	20200922T230037.152411	0	[3 3]	Dict(image:Box(7, 7, 3))	50	0.55	1114324806	0	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	26	DONE	20200922T230037.198411	0	[3 3]	Dict(image:Box(7, 7, 3))	11	0.901	4104385847	0	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	27	DONE	20200922T230037.462407	0	[3 3]	Dict(image:Box(7, 7, 3))	95	0.14500000000000002	717123604	0	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	28	DONE	20200922T230037.508409	0	[3 3]	Dict(image:Box(7, 7, 3))	10	0.91	4037449482	0	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	29	DONE	20200922T230037.557408	0	[3 3]	Dict(image:Box(7, 7, 3))	13	0.883	234778809	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	30	DONE	20200922T230037.607407	0	[3 3]	Dict(image:Box(7, 7, 3))	11	0.901	3608482843	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	31	DONE	20200922T230037.808990	0	[3 3]	Dict(image:Box(7, 7, 3))	34	0.694	3511485912	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	32	DONE	20200922T230037.863990	0	[3 3]	Dict(image:Box(7, 7, 3))	13	0.883	2285400440	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	33	DONE	20200922T230037.990992	0	[3 3]	Dict(image:Box(7, 7, 3))	39	0.649	2312580161	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	34	DONE	20200922T230038.097557	0	[3 3]	Dict(image:Box(7, 7, 3))	26	0.766	649348681	0	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	35	DONE	20200922T230038.319557	0	[3 3]	Dict(image:Box(7, 7, 3))	44	0.604	353087189	0	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	36	DONE	20200922T230038.516557	0	[3 3]	Dict(image:Box(7, 7, 3))	51	0.5409999999999999	3349961532	0	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	37	DONE	20200922T230038.560556	0	[3 3]	Dict(image:Box(7, 7, 3))	6	0.946	264701639	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	38	DONE	20200922T230038.810556	0	[3 3]	Dict(image:Box(7, 7, 3))	47	0.577	131750459	0	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
