block_num	regime_num	exp_num	status	timestamp	seed	source	agent_dir	task_name	sub_task	agent_pos	observation_space	reward	worker	steps	action_space
1	2	72	DONE	20200921T134022.090740	3791039954	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	125	Discrete(7)
1	2	73	DONE	20200921T134022.124739	598215432	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	13	Discrete(7)
1	2	74	DONE	20200921T134022.188775	1178631839	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	38	Discrete(7)
1	2	75	DONE	20200921T134022.576325	3241899198	NEXT	3	minigridkit_minigridkit_minigridlava1	0	[7 1]	Dict(image:Box(7, 7, 3))	0.2142857142857143	env-0	220	Discrete(7)
1	2	76	DONE	20200921T134023.032320	2765099269	NEXT	1	minigridkit_minigridkit_minigridlava1	0	[2 5]	Dict(image:Box(7, 7, 3))	0	env-0	252	Discrete(7)
1	2	77	DONE	20200921T134023.331316	2950702822	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	116	Discrete(7)
1	2	78	DONE	20200921T134023.369315	1740533161	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	14	Discrete(7)
1	2	79	DONE	20200921T134023.442313	2533280903	NEXT	3	minigridkit_minigridkit_minigridlava1	0	[5 2]	Dict(image:Box(7, 7, 3))	0	env-0	36	Discrete(7)
1	2	80	DONE	20200921T134023.499314	617466361	NEXT	3	minigridkit_minigridkit_minigridlava1	0	[4 2]	Dict(image:Box(7, 7, 3))	0	env-0	27	Discrete(7)
1	2	81	DONE	20200921T134023.904310	349902040	NEXT	3	minigridkit_minigridkit_minigridlava1	0	[5 2]	Dict(image:Box(7, 7, 3))	0	env-0	199	Discrete(7)
1	2	82	DONE	20200921T134023.968311	3614280918	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	34	Discrete(7)
1	2	83	DONE	20200921T134024.473845	4215758548	NEXT	3	minigridkit_minigridkit_minigridlava1	0	[3 2]	Dict(image:Box(7, 7, 3))	0	env-0	244	Discrete(7)
1	2	84	DONE	20200921T134024.493845	527700707	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	4	Discrete(7)
1	2	85	DONE	20200921T134024.557843	3219857494	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	34	Discrete(7)
1	2	86	DONE	20200921T134024.646843	3172072464	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	49	Discrete(7)
1	2	87	DONE	20200921T134024.687844	647722693	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	20	Discrete(7)
1	2	88	DONE	20200921T134024.761841	796114263	NEXT	2	minigridkit_minigridkit_minigridlava1	0	[5 2]	Dict(image:Box(7, 7, 3))	0	env-0	46	Discrete(7)
1	2	89	DONE	20200921T134024.812840	939319849	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	27	Discrete(7)
1	2	90	DONE	20200921T134024.949387	4285683418	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 2]	Dict(image:Box(7, 7, 3))	0	env-0	24	Discrete(7)
1	2	91	DONE	20200921T134025.002389	3197436902	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	27	Discrete(7)
1	2	92	DONE	20200921T134025.058386	955412096	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	29	Discrete(7)
1	2	93	DONE	20200921T134025.204384	1752030811	NEXT	3	minigridkit_minigridkit_minigridlava1	0	[3 2]	Dict(image:Box(7, 7, 3))	0	env-0	97	Discrete(7)
1	2	94	DONE	20200921T134025.558383	323924392	NEXT	2	minigridkit_minigridkit_minigridlava1	0	[5 2]	Dict(image:Box(7, 7, 3))	0	env-0	132	Discrete(7)
1	2	95	DONE	20200921T134025.584379	1870233155	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	8	Discrete(7)
1	2	96	DONE	20200921T134025.675380	3685626841	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 2]	Dict(image:Box(7, 7, 3))	0	env-0	35	Discrete(7)
1	2	97	DONE	20200921T134025.755378	2686272428	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	35	Discrete(7)
