block_num	regime_num	exp_num	status	timestamp	seed	sub_task	worker	action_space	steps	agent_dir	observation_space	task_name	source	agent_pos	reward
0	0	130	DONE	20200922T225921.687572	3318862973	0	env-0	Discrete(7)	50	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.55
0	0	131	DONE	20200922T225921.768572	531266588	0	env-0	Discrete(7)	21	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.8109999999999999
0	0	132	DONE	20200922T225921.817574	2859009515	0	env-0	Discrete(7)	9	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.919
0	0	133	DONE	20200922T225922.068572	1816207001	0	env-0	Discrete(7)	48	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.5680000000000001
0	0	134	DONE	20200922T225922.143573	3063350726	0	env-0	Discrete(7)	17	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.847
0	0	135	DONE	20200922T225922.199576	2613958340	0	env-0	Discrete(7)	11	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.901
0	0	136	DONE	20200922T225922.262572	2921884545	0	env-0	Discrete(7)	16	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.856
0	0	137	DONE	20200922T225922.320574	2746286815	0	env-0	Discrete(7)	14	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.874
0	0	138	DONE	20200922T225922.386122	499337942	0	env-0	Discrete(7)	15	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.865
0	0	139	DONE	20200922T225922.492121	3183792871	0	env-0	Discrete(7)	31	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.721
0	0	140	DONE	20200922T225922.551121	4215276481	0	env-0	Discrete(7)	12	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.892
0	0	141	DONE	20200922T225922.594118	320353151	0	env-0	Discrete(7)	7	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.9369999999999999
0	0	142	DONE	20200922T225922.702120	1068091645	0	env-0	Discrete(7)	31	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.721
0	0	143	DONE	20200922T225922.891671	4102663914	0	env-0	Discrete(7)	19	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.829
0	0	144	DONE	20200922T225923.001671	1016404023	0	env-0	Discrete(7)	31	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.721
0	0	145	DONE	20200922T225923.064671	3257068047	0	env-0	Discrete(7)	13	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.883
0	0	146	DONE	20200922T225923.115672	995964516	0	env-0	Discrete(7)	11	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.901
0	0	147	DONE	20200922T225923.173671	2742054607	0	env-0	Discrete(7)	14	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.874
0	0	148	DONE	20200922T225923.223672	3711876546	0	env-0	Discrete(7)	8	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.9279999999999999
0	0	149	DONE	20200922T225923.290670	4140746321	0	env-0	Discrete(7)	15	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.865
0	0	150	DONE	20200922T225923.331670	4074227164	0	env-0	Discrete(7)	9	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.919
0	0	151	DONE	20200922T225923.387675	4291997233	0	env-0	Discrete(7)	14	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.874
0	0	152	DONE	20200922T225923.438670	1956483018	0	env-0	Discrete(7)	11	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.901
0	0	153	DONE	20200922T225923.481670	599933873	0	env-0	Discrete(7)	9	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.919
0	0	154	DONE	20200922T225923.549672	3654405276	0	env-0	Discrete(7)	17	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.847
0	0	155	DONE	20200922T225923.779669	1436365321	0	env-0	Discrete(7)	41	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.631
0	0	156	DONE	20200922T225923.833669	2979668898	0	env-0	Discrete(7)	11	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.901
0	0	157	DONE	20200922T225923.897670	2024314017	0	env-0	Discrete(7)	15	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.865
0	0	158	DONE	20200922T225923.986671	251165416	0	env-0	Discrete(7)	27	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.757
0	0	159	DONE	20200922T225924.026667	235928709	0	env-0	Discrete(7)	7	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.9369999999999999
0	0	160	DONE	20200922T225924.152220	450238495	0	env-0	Discrete(7)	36	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.6759999999999999
0	0	161	DONE	20200922T225924.286221	2291915269	0	env-0	Discrete(7)	41	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.631
0	0	162	DONE	20200922T225924.340223	4103387797	0	env-0	Discrete(7)	13	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.883
