sg_name	agent_config	run_id	perf_recovery	perf_maintenance_mrtlp	perf_maintenance_mrlep	forward_transfer_contrast	backward_transfer_contrast	forward_transfer_ratio	backward_transfer_ratio	ste_rel_perf	sample_efficiency	complexity	difficulty	metrics_column	min	max	num_lx	num_ex
eval	agent_config-0	1-low_3-hard_example-1607409227-666251	-0.0	6.5322266252828936	3.270312174574144	1.0	0.02284312046790327		1.0513460714125376	0.9246125859660027	1.1535693826810909	1-low	3-hard	performance	0.0	98.14386299504602	600	240
eval	agent_config-0	1-low_3-hard_example-1607409232-715147	12.0	4.719005192112219	2.553248532674864	0.7343439109644425	-0.009833269542352358	6.52853061738895	0.9811920742412901	0.8223684779622598	1.0689651632036847	1-low	3-hard	performance	0.0	94.08314495558086	600	240
eval	agent_config-0	1-low_3-hard_example-1607409238-1866596	19.5	-1.08398642472482	-4.47190092725913	1.0	-0.27876222047339216		0.6192696063366221	0.7287240711172803	1.0123571817978108	1-low	3-hard	performance	0.0	91.7942887821998	600	240
eval	agent_config-0	1-low_3-hard_example-1607409269-3704405	-43.0	-4.60022062101117	-6.267429612455267	1.0	-0.018950484851109235		0.9790605657948668	0.838455081543829	1.0078734010105506	1-low	3-hard	performance	0.0	88.96970299461515	600	240
eval	agent_config-0	1-low_3-hard_example-1607409275-6052217	-13.5	-0.8781175625115072	-4.449660476359242	1.0	-0.05504582857046104		0.9185809516463748	0.821684039738715	1.0366419035341088	1-low	3-hard	performance	0.0	93.09261116900491	600	240
eval	agent_config-0	2-intermediate_1-easy_example-1607409393-0207396	-0.0	1.9266336813377951	1.5717417009219818	1.0	0.008008673233346131	8.11617179372591	1.0161694086607316	1.2065770617263016	0.9160929281509224	2-intermediate	1-easy	performance	0.0	100.0	1200	720
eval	agent_config-0	2-intermediate_1-easy_example-1607409395-9619253	-0.0	0.6429194188990811	0.33233044160384634	1.0	0.004065148631911953	3.5738092543976725	1.008186976514895	1.2778021786556535	0.9137963171282651	2-intermediate	1-easy	performance	0.0	100.0	1200	720
eval	agent_config-0	2-intermediate_1-easy_example-1607409398-4428525	-0.0	2.0533614636058553	1.7228147131750784	0.1766393835109773	0.0180974901819474	1.0691046722659237	1.0369165092636092	1.204865923439968	0.9134928607701523	2-intermediate	1-easy	performance	0.0	100.0	1200	720
eval	agent_config-0	2-intermediate_1-easy_example-1607409400-65958	-0.0	0.6862940253809384	0.4460748268672958	1.0	0.0036144438284699187	1.5977031759452482	1.007269157881566	1.148586972291239	0.9277251675633068	2-intermediate	1-easy	performance	0.0	100.0	1200	720
eval	agent_config-0	2-intermediate_1-easy_example-1607409403-0049884	-0.0	0.8046844169904522	0.7986572015406944	1.0	0.003600187661274959	1.9453128460938278	1.0072707186201906	1.2729973373223826	0.9137951860200624	2-intermediate	1-easy	performance	0.0	100.0	1200	720
