block_num	regime_num	exp_num	status	timestamp	worker	agent_dir	task_name	sub_task	source	steps	reward	seed	observation_space	action_space	agent_pos
0	0	707	DONE	20200924T002248.843910	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	13	0.9535714285714285	1485831576	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	708	DONE	20200924T002248.932909	env-0	0	minigridkit_minigridkit_minigridlava2	0	NEXT	24	0.9142857142857143	1285197235	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	709	DONE	20200924T002249.029430	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	27	0.9035714285714286	1922205774	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	710	DONE	20200924T002249.133429	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	30	0	2943914420	Dict(image:Box(7, 7, 3))	Discrete(7)	[5 1]
0	0	711	DONE	20200924T002249.198429	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	16	0.9428571428571428	3062279933	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	712	DONE	20200924T002249.375982	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	19	0.9321428571428572	3734940736	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	713	DONE	20200924T002249.435977	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	14	0.95	791586240	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	714	DONE	20200924T002249.663544	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	74	0.7357142857142858	1009257742	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	715	DONE	20200924T002249.765544	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	30	0.8928571428571429	771988500	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
0	0	716	DONE	20200924T002249.831545	env-0	3	minigridkit_minigridkit_minigridlava2	0	NEXT	16	0.9428571428571428	1881941253	Dict(image:Box(7, 7, 3))	Discrete(7)	[7 1]
