timestamp	phase	worker	class_name	block	seed	task	sub_task	steps	termination_status	source	agent_dir	agent_pos	reward	action_space	observation_space
20200225T181024.575700	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	4111780370	2088	0	29	DONE	NEXT	0	[7 7]	0.9194444444444445	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181024.673623	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3844904486	2089	0	15	DONE	NEXT	1	[7 7]	0.9583333333333334	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181024.850640	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	522034152	2090	0	25	DONE	NEXT	1	[7 7]	0.9305555555555556	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181025.045230	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2108012180	2092	0	31	DONE	NEXT	0	[7 7]	0.9138888888888889	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181025.150375	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3863097727	2094	0	17	DONE	NEXT	1	[7 7]	0.9527777777777777	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181025.695095	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2720129982	2095	0	71	DONE	NEXT	1	[7 7]	0.8027777777777778	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181027.207808	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2862053151	2099	0	70	DONE	NEXT	1	[7 7]	0.8055555555555556	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181027.270214	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	749840940	2102	0	13	DONE	NEXT	1	[7 7]	0.9638888888888889	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181027.429034	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	780522484	2103	0	31	DONE	NEXT	0	[7 7]	0.9138888888888889	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181027.541776	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2315712022	2105	0	25	DONE	NEXT	1	[7 7]	0.9305555555555556	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181027.800237	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	903044880	2107	0	40	DONE	NEXT	1	[7 7]	0.8888888888888888	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181027.894430	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	847186505	2109	0	15	DONE	NEXT	1	[7 7]	0.9583333333333334	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181029.858436	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2280780453	2111	0	22	DONE	NEXT	1	[7 7]	0.9388888888888889	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181030.082149	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3169216138	2112	0	23	DONE	NEXT	1	[7 7]	0.9361111111111111	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181031.198535	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3352381623	2114	0	61	DONE	NEXT	1	[7 7]	0.8305555555555555	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181031.330257	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1281660459	2119	0	25	DONE	NEXT	1	[7 7]	0.9305555555555556	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181031.460149	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	672318487	2121	0	31	DONE	NEXT	1	[7 7]	0.9138888888888889	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181031.580093	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2798608092	2123	0	17	DONE	NEXT	0	[7 7]	0.9527777777777777	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181031.751394	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1111339114	2124	0	25	DONE	NEXT	0	[7 7]	0.9305555555555556	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181033.314867	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	59013143	2126	0	18	DONE	NEXT	0	[7 7]	0.95	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181033.575169	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1517564835	2127	0	32	DONE	NEXT	1	[7 7]	0.9111111111111111	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181033.855068	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1260889739	2130	0	30	DONE	NEXT	1	[7 7]	0.9166666666666666	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181034.122326	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3173015025	2131	0	37	DONE	NEXT	1	[7 7]	0.8972222222222223	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181034.869483	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1872759583	2133	0	92	DONE	NEXT	0	[7 7]	0.7444444444444445	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181036.658259	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	632517956	2139	0	44	DONE	NEXT	0	[7 7]	0.8777777777777778	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181036.854577	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	614674026	2142	0	21	DONE	NEXT	1	[7 7]	0.9416666666666667	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181037.002371	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1967215194	2144	0	21	DONE	NEXT	1	[7 7]	0.9416666666666667	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181037.127645	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1481327500	2146	0	16	DONE	NEXT	0	[7 7]	0.9555555555555556	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181037.452972	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2167993442	2148	0	43	DONE	NEXT	1	[7 7]	0.8805555555555555	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181037.596149	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1016158895	2150	0	22	DONE	NEXT	0	[7 7]	0.9388888888888889	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181037.757531	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3060686385	2152	0	22	DONE	NEXT	0	[7 7]	0.9388888888888889	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181039.993610	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2706593313	2154	0	27	DONE	NEXT	1	[7 7]	0.925	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181040.246745	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	4089364740	2155	0	24	DONE	NEXT	0	[7 7]	0.9333333333333333	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181040.459891	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3676907806	2158	0	32	DONE	NEXT	1	[7 7]	0.9111111111111111	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181040.550820	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1809800771	2159	0	16	DONE	NEXT	0	[7 7]	0.9555555555555556	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181040.670203	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2049704994	2160	0	19	DONE	NEXT	1	[7 7]	0.9472222222222222	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181040.880276	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3341971387	2161	0	31	DONE	NEXT	1	[7 7]	0.9138888888888889	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181041.049863	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2129283720	2163	0	19	DONE	NEXT	1	[7 7]	0.9472222222222222	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181041.195517	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	72224970	2164	0	15	DONE	NEXT	1	[7 7]	0.9583333333333334	Discrete(7)	Dict(image:Box(7, 7, 3))
